dataset,method,run_name,row_type,seed,status,roc_auc,auprc,macro_f1,f1,delta_auprc_vs_base,delta_roc_auc_vs_base,delta_macro_f1_vs_base,delta_auprc_vs_best_single,delta_macro_f1_vs_best_single,near_cap_fraction,residual_shift_mean,residual_shift_max_abs,mean_gate_all_relations,gate_vs_near_cap_corr,gate_vs_abs_residual_corr,mean_sparse_penalty,positive_auprc_vs_base_seeds
amazon,all_rel,cover_rel_all_nollm,std,,5/5 complete,0.026712214533788244,0.022477506038185626,0.005431097288213703,0.010238637225631939,0.0010797535313717343,0.0007525535162147966,0.0010339322427884432,0.0010263252105597853,0.000499784606311661,0.05658944506839819,0.04512305468099103,3.917617017067667e-07,,,,,5
amazon,anchor_gate,cover_rel_anchor_gate_nollm,seed,42,complete,0.973676445476589,0.8751088536476418,0.9161821191105433,0.8429752066115702,0.006352960909662864,0.001986270960691372,0.001013050419499839,0.00025796175233205876,0.001013050419499839,0.921299397945404,0.11875291168689728,0.20000004768371582,0.8531786799430847,0.003302433528006077,-0.0019527928670868278,1.559536099433899,
amazon,anchor_gate,cover_rel_anchor_gate_nollm,seed,123,complete,0.9819999316963218,0.8606894202024248,0.9176982492653363,0.8459016393442623,0.0006772333966458266,-4.781257470720668e-06,0.001002820819413719,-2.6654963562244838e-05,0.001002820819413719,0.9833388924598694,0.18906325101852417,0.20000076293945312,0.7309049367904663,-0.42276400327682495,-0.39704903960227966,1.1927146911621094,
amazon,anchor_gate,cover_rel_anchor_gate_nollm,seed,456,complete,0.9758969980533452,0.8614742204058818,0.9139330344016465,0.8388157894736842,0.0024132475641671647,0.000638639390731166,0.000531276779539791,0.000301313402751191,0.0,0.9520261287689209,0.14863069355487823,0.20000004768371582,0.9921897053718567,0.14545753598213196,0.13202418386936188,1.9765691757202148,
amazon,anchor_gate,cover_rel_anchor_gate_nollm,seed,789,complete,0.9181250640346983,0.8167356337822179,0.9154301489130146,0.8415841584158416,0.00460359167322244,0.0030026296916088047,0.002985202886060967,0.000601057996641452,0.0012772950916690728,0.8056765198707581,0.04745963588356972,0.20000076293945312,0.6582655310630798,-0.17943456768989563,-0.15548589825630188,0.9747965931892395,
amazon,anchor_gate,cover_rel_anchor_gate_nollm,seed,2026,complete,0.9500870871896452,0.8595317467367781,0.9273408483742751,0.8640776699029126,0.0034917732542100177,0.0015723506710836332,0.0,0.0006126170737241754,0.0,0.9012893438339233,0.09731582552194595,0.20000076293945312,0.939597487449646,0.20990075170993805,0.22893288731575012,1.818792700767517,
amazon,anchor_gate,cover_rel_anchor_gate_nollm,mean,,5/5 complete,0.9599571052901199,0.8547079749549888,0.9181168800129631,0.8466708927496541,0.0035077613595816625,0.001439021891328851,0.0011064701809028632,0.0003492590523773265,0.0006586332661165262,0.9127260565757751,0.12024446353316307,0.20000047683715821,0.8348272681236267,-0.0487075699493289,-0.03870613190811127,1.504481852054596,5
amazon,anchor_gate,cover_rel_anchor_gate_nollm,std,,5/5 complete,0.026341619185844177,0.022152443908778133,0.005332054760728729,0.01006010998144496,0.00215093637591306,0.001171250095013008,0.0011296272316108562,0.0002667890015694517,0.0006112312580610742,0.0674436286007046,0.053308962355643245,3.917617017067667e-07,0.13968751534554683,0.25704627798630947,0.24707157191302884,0.4190626316581826,5
amazon,base_gate,cover_rel_base_gate_nollm,seed,42,complete,0.9734373826030531,0.8741259984413904,0.9161821191105433,0.8429752066115702,0.005370105703411454,0.0017472080871554496,0.001013050419499839,-0.0007248934539193508,0.001013050419499839,0.9151875376701355,0.12919767200946808,0.20000004768371582,0.8116320371627808,-0.20656007528305054,-0.20884867012500763,2.434896230697632,
amazon,base_gate,cover_rel_base_gate_nollm,seed,123,complete,0.9823667224480039,0.861078819852071,0.9166954284459226,0.8440065681444991,0.0010666330462920648,0.0003620094942113905,0.0,0.00036274468608399335,0.0,0.8895679712295532,0.15603473782539368,0.20000076293945312,0.8760715126991272,0.19738984107971191,0.18072710931301117,2.6282145977020264,
amazon,base_gate,cover_rel_base_gate_nollm,seed,456,complete,0.9765568115843037,0.8620441331523366,0.9129212919617091,0.8369028006589786,0.0029831603106219573,0.00129845292168973,-0.00048046566039761096,0.0008712261492059836,-0.001011742439937402,0.9386302828788757,0.12463314831256866,0.20000004768371582,0.9283947944641113,0.05238797143101692,0.04148252680897713,2.785184383392334,
