relation_set,seed,relation,stat,mean,std,min,q05,q50,q95,max,degree_q10,degree_q90,feature_deviation_q90,neighbor_cosine_q10,fraud_proto_train_nodes,benign_proto_train_nodes,prototype_labels,test_label_used
all,123,UVU,neighbor_cosine,0.3666815459728241,0.4482899308204651,0.0,0.02060605026781559,0.037892021238803864,0.9998300075531006,0.9999892711639404,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,317,4428,train_only,False
all,123,UVU,zscore_high_fraction,0.053576696664094925,0.09629019349813461,0.0,0.0,0.0,0.2800000011920929,1.0,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,317,4428,train_only,False
all,123,UVU,fraud_proto_dist_z,1.0795108096317563e-07,0.9999999403953552,-2.007075309753418,-1.595445990562439,0.09734535962343216,1.1619527339935303,10.283225059509277,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,317,4428,train_only,False
all,123,UVU,benign_proto_dist_z,5.78081227331495e-08,1.0,-2.5677740573883057,-2.067357063293457,0.3053399324417114,0.3147982656955719,9.506583213806152,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,317,4428,train_only,False
all,123,UVU,fraud_minus_benign_margin_z,3.257695269098804e-08,1.0,-0.4278315603733063,-0.42747366428375244,-0.427090048789978,2.465794086456299,2.4669482707977295,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,317,4428,train_only,False
all,456,UPU,log_degree_norm,0.3283191919326782,0.2370554804801941,0.0,0.0,0.31192833185195923,0.7752532958984375,1.0,0.0,53.0,1478.084805091266,0.029128107270255978,279,3813,train_only,False
all,456,UPU,degree_top10,0.10046885162591934,0.30062413215637207,0.0,0.0,0.0,1.0,1.0,0.0,53.0,1478.084805091266,0.029128107270255978,279,3813,train_only,False
all,456,UPU,degree_low,0.14400535821914673,0.35109516978263855,0.0,0.0,0.0,1.0,1.0,0.0,53.0,1478.084805091266,0.029128107270255978,279,3813,train_only,False
all,456,UPU,feature_l2_deviation_z,-3.7687062359736956e-08,1.0,-0.9123706221580505,-0.8871681094169617,-0.2572071850299835,1.9948043823242188,7.0221734046936035,0.0,53.0,1478.084805091266,0.029128107270255978,279,3813,train_only,False
all,456,UPU,neighbor_cosine,0.4106106758117676,0.440712571144104,0.0,0.0,0.11099334806203842,0.9998435974121094,0.999993085861206,0.0,53.0,1478.084805091266,0.029128107270255978,279,3813,train_only,False
all,456,UPU,zscore_high_fraction,0.1319357007741928,0.200794979929924,0.0,0.0,0.03999999910593033,0.6000000238418579,1.0,0.0,53.0,1478.084805091266,0.029128107270255978,279,3813,train_only,False
all,456,UPU,fraud_proto_dist_z,4.056149904840822e-08,1.0,-1.455562949180603,-1.12694251537323,-0.09763166308403015,1.8476792573928833,9.869855880737305,0.0,53.0,1478.084805091266,0.029128107270255978,279,3813,train_only,False
all,456,UPU,benign_proto_dist_z,-2.147843147781714e-08,1.0,-1.826704502105713,-1.4188218116760254,0.03213378041982651,1.4259041547775269,10.24443531036377,0.0,53.0,1478.084805091266,0.029128107270255978,279,3813,train_only,False
all,456,UPU,fraud_minus_benign_margin_z,-4.1519644611298645e-08,1.0,-0.48866215348243713,-0.4883132576942444,-0.48762089014053345,2.117290496826172,2.118242025375366,0.0,53.0,1478.084805091266,0.029128107270255978,279,3813,train_only,False
all,456,USU,log_degree_norm,0.6262906193733215,0.17721889913082123,0.0,0.3237881064414978,0.637668251991272,0.889706552028656,1.0,31.0,1685.7000000000007,1054.2644335962411,0.03841908046714165,325,4421,train_only,False
all,456,USU,degree_top10,0.10005023330450058,0.3000669777393341,0.0,0.0,0.0,1.0,1.0,31.0,1685.7000000000007,1054.2644335962411,0.03841908046714165,325,4421,train_only,False
all,456,USU,degree_low,0.10021768510341644,0.3002900183200836,0.0,0.0,0.0,1.0,1.0,31.0,1685.7000000000007,1054.2644335962411,0.03841908046714165,325,4421,train_only,False
all,456,USU,feature_l2_deviation_z,6.451514167338246e-08,1.0,-1.2433476448059082,-1.1202811002731323,-0.13833817839622498,1.9550968408584595,7.9173736572265625,31.0,1685.7000000000007,1054.2644335962411,0.03841908046714165,325,4421,train_only,False
all,456,USU,neighbor_cosine,0.4061853289604187,0.4283958375453949,0.0,0.032196663320064545,0.11114911735057831,0.9998648166656494,0.9999904632568359,31.0,1685.7000000000007,1054.2644335962411,0.03841908046714165,325,4421,train_only,False
all,456,USU,zscore_high_fraction,0.053000666201114655,0.09005489200353622,0.0,0.0,0.0,0.2800000011920929,0.8399999737739563,31.0,1685.7000000000007,1054.2644335962411,0.03841908046714165,325,4421,train_only,False
all,456,USU,fraud_proto_dist_z,-1.98016767427589e-08,0.9999999403953552,-1.0073215961456299,-0.7722322344779968,-0.2531922459602356,2.1783621311187744,8.95942497253418,31.0,1685.7000000000007,1054.2644335962411,0.03841908046714165,325,4421,train_only,False
all,456,USU,benign_proto_dist_z,1.3525823305826634e-07,1.0,-1.6374051570892334,-1.2782853841781616,-0.03526044636964798,1.6616781949996948,10.094928741455078,31.0,1685.7000000000007,1054.2644335962411,0.03841908046714165,325,4421,train_only,False
all,456,USU,fraud_minus_benign_margin_z,-2.4273022702914204e-08,0.9999999403953552,-0.5315884351730347,-0.5314001441001892,-0.5307106375694275,1.988462209701538,1.9886624813079834,31.0,1685.7000000000007,1054.2644335962411,0.03841908046714165,325,4421,train_only,False
all,456,UVU,log_degree_norm,0.48948347568511963,0.16314803063869476,0.0,0.20416197180747986,0.5139896869659424,0.7403689026832581,1.0,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,318,4425,train_only,False
all,456,UVU,degree_top10,0.10005023330450058,0.3000669777393341,0.0,0.0,0.0,1.0,1.0,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,318,4425,train_only,False
all,456,UVU,degree_low,0.10222706198692322,0.30294668674468994,0.0,0.0,0.0,1.0,1.0,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,318,4425,train_only,False
