dataset,base,mode,n_seeds,n_paired_vs_baseline,auprc_mean,auprc_std,capture_pct,teacher_auprc,base_only_auprc,t_vs_baseline,p_vs_baseline,sig_vs_baseline
amazon,gcn,det_mask,5,5,0.6856361872811506,0.25771011874643246,299.208190967802,0.2291502064376748,0.22856759665397786,1.890857716843235,0.06581007118262083,
amazon,gcn,g_opd_flash,5,5,0.6725511090743388,0.25018418698763567,293.49792851147265,0.2291502064376748,0.22856759665397786,1.7747110554530179,0.07530496969076013,
amazon,gcn,opd_action_strict,5,5,0.6673031460634183,0.24782461028051414,291.2077437926787,0.2291502064376748,0.22856759665397786,1.592805703923906,0.0932112847937459,
amazon,gcn,opd_action_strict_mh,5,5,0.6376946574965411,0.25020441516620995,278.2867479850968,0.2291502064376748,0.22856759665397786,0.566449357692971,0.3006796818011932,
amazon,gat,off_policy,5,5,0.5164152224480825,0.3806228688129744,62.94582767231402,0.8204121568413687,0.5749612665932379,nan,nan,
amazon,gat,all_node_mh,5,5,0.5298672083149997,0.3911603961317512,64.58548960988307,0.8204121568413687,0.5749612665932379,1.6678658740500902,0.08533412744236432,
amazon,gat,det_mask,5,5,0.529843985274992,0.39239763869195,64.58265895460643,0.8204121568413687,0.5749612665932379,1.482549383845929,0.10616691614795726,
amazon,gat,g_opd_flash,5,5,0.5263729821490474,0.38994721945728295,64.15957854349841,0.8204121568413687,0.5749612665932379,1.5643284660827166,0.09639381813133203,
amazon,gat,opd_action_strict,5,5,0.5277316903013602,0.389849268556813,64.32519141758648,0.8204121568413687,0.5749612665932379,1.106948378708105,0.16520098526249355,
amazon,gat,opd_action_strict_mh,5,5,0.5175693282056082,0.3819950777668369,63.086501569927755,0.8204121568413687,0.5749612665932379,0.1921892966750307,0.42847828625164475,
