dataset,model,run_name,seed,metrics_present,diagnostics_present,auprc,roc_auc,macro_f1,g_means,diag_mean_abs_delta_rel,diag_mean_alpha_llm,diag_mean_alpha_llm_accepted,diag_mean_alpha_llm_rejected,diag_max_abs_alpha_llm_rejected,diag_mean_gate_entropy,diag_mean_dominance_rho,diag_gate_weight_rel_0,diag_gate_weight_rel_1,diag_gate_weight_rel_2
yelpchi,bwgnn,phase2_yelp_s3_lalign_0,2026,True,True,0.5663936138153076,0.8686699867248535,0.7323544025421143,0.7226859927177429,1.519780158996582,0.0,0.0,0.0,0.0,0.13522624969482422,nan,0.9490081667900085,0.0009285542764700949,0.05006331205368042
yelpchi,bwgnn,phase2_yelp_s3_lalign_1em3,42,True,True,0.5444540403788491,0.860581195618224,0.7223029132917482,0.7187603141136844,1.4455628395080566,0.0,0.0,0.0,0.0,0.3554937541484833,0.6721862554550171,0.885504424571991,0.06141027808189392,0.05308537185192108
yelpchi,bwgnn,phase2_yelp_s3_lalign_1em3,123,True,True,0.583940757515,0.8712131096115271,0.7358238993783609,0.7064491710023924,1.4227476119995117,0.0,0.0,0.0,0.0,0.2960915267467499,0.585437536239624,0.9160397052764893,0.06695656478404999,0.01700368896126747
yelpchi,bwgnn,phase2_yelp_s3_lalign_1em3,456,True,True,0.5712831020355225,0.8646317720413208,0.7258765697479248,0.715124785900116,1.502850890159607,0.0,0.0,0.0,0.0,0.1247999519109726,nan,0.9720169901847839,0.008615990169346333,0.019367123022675514
yelpchi,bwgnn,phase2_yelp_s3_lalign_1em3,789,True,True,0.5711163878440857,0.8709123134613037,0.7285540103912354,0.708757758140564,1.4552620649337769,0.0,0.0,0.0,0.0,0.20241817831993103,nan,0.9394219517707825,0.021643947809934616,0.03893420100212097
yelpchi,bwgnn,phase2_yelp_s3_lalign_1em3,2026,True,True,0.5741362571716309,0.8712254166603088,0.7349859476089478,0.7181962728500366,1.3593477010726929,0.0,0.0,0.0,0.0,0.36357125639915466,nan,0.4218921959400177,0.05378733575344086,0.5243205428123474
yelpchi,bwgnn,phase2_yelp_s3_lalign_3em3,42,True,True,0.556187727692306,0.8680933820521413,0.7273451997788853,0.7237834557907659,1.5655370950698853,0.0,0.0,0.0,0.0,0.31900036334991455,0.7853390574455261,0.7924160957336426,0.03498782590031624,0.1725960522890091
yelpchi,bwgnn,phase2_yelp_s3_lalign_3em3,123,True,True,0.5837189657784749,0.8718026375938032,0.7354222970872553,0.7262021656755672,1.3938101530075073,0.0,0.0,0.0,0.0,0.43221020698547363,0.5109843611717224,0.8312699794769287,0.13618631660938263,0.03254368156194687
yelpchi,bwgnn,phase2_yelp_s3_lalign_3em3,456,True,True,0.5732231140136719,0.8671399354934692,0.72719407081604,0.7141693830490112,1.5383648872375488,0.0,0.0,0.0,0.0,0.360135555267334,nan,0.8532877564430237,0.04131819307804108,0.1053941398859024
yelpchi,bwgnn,phase2_yelp_s3_lalign_3em3,789,True,True,0.5808975100517273,0.8775740265846252,0.7272497415542603,0.6832210421562195,1.5956653356552124,0.0,0.0,0.0,0.0,0.280735582113266,nan,0.7662034034729004,0.1682305783033371,0.06556601077318192
yelpchi,bwgnn,phase2_yelp_s3_lalign_3em3,2026,True,True,0.5667382478713989,0.8694788217544556,0.7328906059265137,0.7181532382965088,1.479714035987854,0.0,0.0,0.0,0.0,0.25666895508766174,nan,0.9043287634849548,0.027704857289791107,0.06796631962060928
yelpchi,bwgnn,phase2_yelp_s3_lalign_1em2,42,True,True,0.5617775190942811,0.8681795509831373,0.7255219033125817,0.7470318223761591,1.5532407760620117,0.0,0.0,0.0,0.0,0.35534900426864624,0.5929665565490723,0.8068496584892273,0.07860685884952545,0.11454346776008606
yelpchi,bwgnn,phase2_yelp_s3_lalign_1em2,123,True,True,0.583326074725053,0.8717489726511586,0.7335938158349726,0.7027790979017792,1.4582699537277222,0.0,0.0,0.0,0.0,0.471588671207428,0.4698725640773773,0.7991565465927124,0.1486881673336029,0.05215538665652275
yelpchi,bwgnn,phase2_yelp_s3_lalign_1em2,456,True,True,0.5726966261863708,0.8663201928138733,0.7255611419677734,0.715910792350769,1.457936406135559,0.0,0.0,0.0,0.0,0.40779027342796326,nan,0.8457198143005371,0.11958224326372147,0.03469802811741829
